iter	Passed	Remaining
170	4782	9202
171	4809	9171
172	4839	9147
173	4867	9120
174	4894	9089
175	4920	9058
176	4946	9027
177	4973	8996
178	5000	8968
179	5028	8939
180	5054	8908
181	5084	8883
182	5114	8859
183	5142	8831
184	5168	8799
185	5194	8768
186	5226	8747
187	5256	8723
188	5285	8697
189	5315	8673
190	5345	8647
191	5370	8615
192	5397	8586
193	5425	8557
194	5451	8526
195	5478	8497
196	5506	8469
197	5537	8446
198	5566	8419
199	5591	8387
200	5617	8356
201	5644	8326
202	5673	8300
203	5698	8268
204	5729	8245
205	5757	8217
206	5785	8188
207	5812	8159
208	5840	8131
209	5867	8102
210	5894	8073
211	5920	8043
212	5952	8020
213	5983	7996
214	6009	7966
215	6035	7936
216	6061	7905
217	6088	7876
218	6115	7846
219	6141	7816
220	6172	7792
221	6201	7766
222	6228	7737
223	6254	7706
224	6280	7676
225	6307	7646
226	6333	7616
227	6358	7585
228	6385	7556
229	6417	7533
230	6445	7505
231	6473	7477
232	6499	7448
233	6526	7418
234	6553	7389
235	6579	7359
236	6608	7332
237	6639	7309
238	6666	7279
239	6693	7250
240	6720	7222
241	6747	7193
242	6773	7164
243	6800	7134
244	6834	7113
245	6866	7089
246	6893	7060
247	6920	7031
248	6946	7002
249	6977	6977
250	7004	6948
251	7034	6922
252	7059	6892
253	7089	6866
254	7116	6837
255	7143	6808
256	7170	6779
257	7198	6751
258	7224	6722
259	7251	6694
260	7281	6667
261	7313	6643
262	7340	6614
263	7366	6585
264	7393	6556
265	7420	6527
266	7447	6499
267	7478	6473
268	7507	6446
269	7536	6420
270	7563	6391
271	7590	6362
272	7616	6333
273	7643	6304
274	7670	6275
275	7697	6246
276	7728	6222
277	7756	6194
278	7783	6165
279	7809	6136
280	7836	6107
281	7863	6079
282	7891	6050
283	7921	6024
284	7954	6000
285	7985	5975
286	8011	5945
287	8037	5916
288	8063	5887
289	8090	5858
290	8116	5829
291	8144	5801
292	8175	5775
293	8203	5748
294	8229	5718
295	8256	5690
296	8282	5661
297	8309	5632
298	8335	5603
299	8361	5574
300	8391	5547
301	8418	5519
302	8448	5493
303	8478	5466
304	8504	5437
305	8531	5408
306	8557	5380
307	8584	5351
308	8613	5324
309	8645	5298
310	8674	5271
311	8700	5242
312	8726	5213
313	8753	5184
314	8780	5156
315	8806	5127
316	8837	5101
317	8862	5072
318	8898	5048
319	8925	5020
320	8951	4991
321	8978	4963
322	9005	4935
323	9031	4906
324	9066	4881
325	9096	4854
326	9123	4826
327	9149	4797
328	9175	4768
329	9203	4741
330	9230	4712
331	9260	4685
332	9290	4659
333	9318	4631
334	9344	4602
335	9370	4573
336	9396	4545
337	9423	4516
338	9450	4488
339	9483	4462
340	9514	4436
341	9541	4408
342	9567	4379
343	9594	4350
344	9620	4322
345	9646	4293
346	9672	4264
347	9704	4238
348	9731	4210
349	9761	4183
350	9788	4155
351	9814	4126
352	9839	4097
353	9866	4069
354	9892	4040
355	9925	4014
356	9955	3987
357	9982	3959
358	10009	3931
359	10036	3902
360	10062	3874
361	10090	3846
362	10118	3818
363	10150	3792
364	10177	3764
365	10203	3735
366	10229	3707
367	10256	3678
368	10282	3650
369	10309	3622
370	10335	3593
371	10364	3566
372	10391	3538
373	10419	3510
374	10445	3481
375	10472	3453
376	10499	3425
377	10525	3397
378	10552	3369
379	10581	3341
380	10612	3314
381	10640	3286
382	10667	3258
383	10695	3231
384	10722	3202
385	10750	3175
386	10776	3146
387	10806	3119
388	10837	3092
389	10864	3064
390	10895	3037
391	10922	3009
392	10948	2980
393	10974	2952
394	11004	2925
395	11033	2897
396	11063	2870
397	11089	2841
398	11115	2813
399	11141	2785
400	11168	2757
401	11194	2729
